Season,F1,Team,GP,W,L,Points,CF,CA,CF%,GF,GA,GF%,xGF,xGA,xGF%,HDCF,HDCA,HDCF%
2024,1,New Jersey Devils,82,42,33,91,3949,3748,51.31,149,152,49.5,169.1,160.01,51.38,715,678,51.33
2024,2,Buffalo Sabres,82,36,39,79,3828,3866,49.75,185,184,50.14,161.38,174.98,47.98,670,759,46.89
2024,3,St Louis Blues,82,44,30,96,3669,3901,48.47,175,147,54.35,154.12,158.67,49.27,666,659,50.26
2024,4,Seattle Kraken,82,35,41,76,3841,4179,47.89,168,183,47.86,153.28,178.4,46.21,647,753,46.21
2024,5,Boston Bruins,82,33,39,76,3600,3944,47.72,152,164,48.1,154.33,167.47,47.96,632,701,47.41
2024,6,Florida Panthers,82,47,31,98,4263,3415,55.52,153,139,52.4,180.52,146.88,55.14,730,643,53.17
2024,7,Chicago Blackhawks,82,25,46,61,3351,4249,44.09,150,207,42.02,144.05,190.75,43.03,600,840,41.67
2024,8,Utah Hockey Club,82,38,31,89,4182,3675,53.23,158,150,51.3,184.98,159.32,53.73,740,621,54.37
2024,9,Toronto Maple Leafs,82,52,26,108,3694,4103,47.38,169,136,55.41,159.04,168.75,48.52,700,682,50.65
2024,10,Montreal Canadiens,82,40,31,91,3692,4082,47.49,158,181,46.61,167.89,189.11,47.03,677,805,45.68
2024,11,New York Rangers,82,39,36,85,3887,4068,48.86,180,172,51.14,170.36,184.76,47.97,721,818,46.85
2024,12,Pittsburgh Penguins,82,34,36,80,4063,3951,50.7,157,195,44.6,178.8,178.84,49.99,775,779,49.87
2024,13,Winnipeg Jets,82,56,22,116,3958,3940,50.11,170,119,58.82,175.52,159.18,52.44,787,674,53.87
2024,14,Edmonton Oilers,82,48,29,101,4262,3619,54.08,168,171,49.56,192.77,161.63,54.39,817,645,55.88
2024,15,Calgary Flames,82,41,27,96,4211,3927,51.74,140,142,49.65,162.61,162.04,50.09,682,712,48.92
2024,16,Vancouver Canucks,82,38,30,90,3634,3771,49.07,151,162,48.24,152.81,155.8,49.52,634,682,48.18
