"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%"
"1","Nashville Predators","82","3910.05","47","30","5","44","99","0.604","4057","3825","51.47","2931","2724","51.83","2034","1954","51.00","168","153","52.34","184.98","163.19","53.13","799","679","54.06","97","76","56.07","18.03","83.30"
"2","Tampa Bay Lightning","82","3970.2167","45","29","8","42","98","0.598","3855","3775","50.52","2680","2656","50.22","1813","1894","48.91","171","190","47.37","160.52","167","49.01","724","696","50.99","94","92","50.54","19.92","80.83"
"3","Chicago Blackhawks","82","4001.5167","23","53","6","22","52","0.317","3386","4360","43.71","2392","3130","43.32","1690","2188","43.58","118","202","36.88","140.91","191.91","42.34","588","889","39.81","68","108","38.64","17.09","81.15"
"4","Pittsburgh Penguins","82","3947.0667","38","32","12","36","88","0.537","4198","3992","51.26","3004","2919","50.72","2093","1959","51.65","179","172","51.00","186.42","176.95","51.30","824","745","52.52","85","105","44.74","15.40","78.66"
"5","Seattle Kraken","82","4014.2667","34","35","13","31","81","0.494","4037","3829","51.32","2766","2796","49.73","1875","1886","49.85","144","146","49.66","162.74","159.14","50.56","695","672","50.84","73","79","48.03","17.06","80.45"
"6","Vegas Golden Knights","82","4015.3833","45","29","8","41","98","0.598","3984","4223","48.54","2812","2870","49.49","2006","1961","50.57","176","163","51.92","172.58","165.7","51.02","730","716","50.48","92","76","54.76","18.29","82.77"
"7","Ottawa Senators","82","3914.4333","37","41","4","32","78","0.476","3982","3911","50.45","2839","2711","51.15","1950","1911","50.51","163","192","45.92","166.47","172.25","49.15","709","740","48.93","91","99","47.89","18.84","80.00"
"8","Carolina Hurricanes","82","3956.6","52","23","7","50","111","0.677","4709","3197","59.56","3341","2368","58.52","2147","1667","56.29","169","146","53.65","191.95","144.67","57.02","801","626","56.13","96","72","57.14","19.55","83.56"
"9","Montreal Canadiens","82","3927.6","30","36","16","26","76","0.463","3586","4273","45.63","2554","2977","46.18","1748","2034","46.22","160","164","49.38","163.69","189.05","46.41","697","805","46.40","86","83","50.89","18.53","83.23"
"10","Toronto Maple Leafs","82","4012.1167","46","26","10","41","102","0.622","4102","3948","50.96","2943","2786","51.37","2055","1850","52.62","200","168","54.35","182.22","171.34","51.54","843","753","52.82","111","89","55.50","19.86","82.16"
"11","Boston Bruins","82","3923.55","47","20","15","43","109","0.665","3558","4008","47.03","2578","2850","47.49","1793","1920","48.29","174","135","56.31","166.7","166.59","50.02","757","746","50.37","103","75","57.87","19.54","84.47"
"12","Winnipeg Jets","82","4006.1167","52","24","6","52","110","0.671","4001","3830","51.09","2922","2765","51.38","2008","1913","51.21","178","121","59.53","174.09","165.28","51.30","758","744","50.47","98","73","57.31","18.88","84.98"
"13","Calgary Flames","82","3951.95","38","39","5","38","81","0.494","4126","3932","51.20","2919","2736","51.62","1995","1894","51.30","167","181","47.99","171.03","167.48","50.52","728","731","49.90","86","79","52.12","18.11","84.04"
"14","Colorado Avalanche","82","3904.3333","50","25","7","48","107","0.652","4200","3772","52.68","2944","2704","52.12","2072","1866","52.62","196","167","53.99","174.29","162.82","51.70","823","708","53.76","97","96","50.26","18.13","80.41"
"15","Los Angeles Kings","82","3942.15","44","27","11","42","99","0.604","4171","3564","53.92","3042","2501","54.88","2099","1724","54.90","165","143","53.57","180.83","150.71","54.54","731","644","53.16","89","76","53.94","18.90","81.77"
"16","Edmonton Oilers","82","3997.4667","49","27","6","47","104","0.634","4316","3507","55.17","3108","2557","54.86","2190","1784","55.11","193","153","55.78","213.02","160.18","57.08","973","671","59.18","119","88","57.49","18.56","80.40"
"17","Vancouver Canucks","82","3921.25","50","23","9","50","109","0.665","3752","3541","51.45","2667","2543","51.19","1764","1748","50.23","187","136","57.89","169.61","154.85","52.28","795","675","54.08","111","73","60.33","22.61","83.85"
"18","New York Rangers","82","3978.0167","55","23","4","51","114","0.695","3964","3949","50.09","2863","2817","50.40","1973","1929","50.56","166","165","50.15","167.1","173.93","49.00","730","744","49.53","73","93","43.98","15.77","81.36"
"19","Buffalo Sabres","82","3994.8","39","37","6","37","84","0.512","3923","3821","50.66","2827","2762","50.58","1976","1844","51.73","174","159","52.25","165.64","176.11","48.47","687","793","46.42","68","85","44.44","15.32","83.20"
"20","Philadelphia Flyers","82","3916.45","38","33","11","34","87","0.530","4104","3853","51.58","2975","2530","54.04","2078","1708","54.89","159","180","46.90","171.19","154.94","52.49","775","678","53.34","81","94","46.29","15.82","77.88"
"21","Columbus Blue Jackets","82","4017.6","27","43","12","24","66","0.402","4009","4385","47.76","2826","3131","47.44","1938","2219","46.62","175","196","47.17","169.43","197.86","46.13","666","847","44.02","88","98","47.31","20.09","82.12"
"22","Detroit Red Wings","82","3936.6333","41","32","9","38","91","0.555","3552","4175","45.97","2535","2988","45.90","1757","2040","46.27","177","189","48.36","147.74","175.22","45.75","587","729","44.60","83","103","44.62","20.65","77.90"
"23","New Jersey Devils","82","3950.2333","38","39","5","38","81","0.494","4036","3738","51.92","2842","2755","50.78","1954","1924","50.39","177","185","48.90","184.53","172.88","51.63","756","735","50.70","101","102","49.75","20.36","80.00"
"24","St Louis Blues","82","3981.8833","43","33","6","38","92","0.561","3474","4199","45.28","2553","3058","45.50","1809","2122","46.02","151","167","47.48","150.23","190.79","44.05","640","851","42.92","74","90","45.12","16.86","83.61"
"25","Dallas Stars","82","4011.2333","52","21","9","48","113","0.689","4262","3757","53.15","3024","2672","53.09","2045","1812","53.02","192","160","54.55","183.9","150.65","54.97","789","637","55.33","96","90","51.61","19.16","79.02"
"26","Florida Panthers","82","3793.8833","52","24","6","49","110","0.671","4217","3354","55.70","2898","2493","53.76","2022","1700","54.33","155","119","56.57","175.03","147.87","54.20","753","648","53.75","72","70","50.70","14.94","84.62"
"27","Minnesota Wild","82","3890","39","33","10","36","88","0.537","3713","3766","49.65","2629","2642","49.88","1788","1818","49.58","159","163","49.38","149.41","143.54","51.00","657","622","51.37","84","74","53.16","19.05","81.22"
"28","San Jose Sharks","82","4024.2667","19","54","9","18","47","0.287","3575","4583","43.82","2499","3270","43.32","1686","2247","42.87","119","226","34.49","148.33","206.31","41.83","634","901","41.30","57","114","33.33","14.21","80.48"
"29","Arizona Coyotes","82","3941.1333","36","41","5","34","77","0.470","3722","3947","48.53","2648","2880","47.90","1771","1967","47.38","171","171","50.00","164.44","174.4","48.53","716","756","48.64","87","81","51.79","18.95","83.40"
"30","Washington Capitals","82","4042.2","40","31","11","36","91","0.555","3644","4166","46.66","2521","2923","46.31","1686","1960","46.24","143","175","44.97","160.49","178.16","47.39","714","763","48.34","85","102","45.45","19.45","79.64"
"31","New York Islanders","82","4064.3167","39","27","16","38","94","0.573","3914","4429","46.91","2848","3049","48.30","1983","2102","48.54","166","158","51.23","175.88","178.8","49.59","780","762","50.58","84","74","53.16","15.38","85.20"
"32","Anaheim Ducks","82","3822.6833","27","50","5","26","59","0.360","3344","3864","46.39","2423","2790","46.48","1667","1920","46.47","127","174","42.19","142.87","167.67","46.01","616","769","44.48","73","93","43.98","18.02","81.94"
