HDCF%,Team,Season,Situation (5on5),GP,xGF%,CF%,xGF,GF,HDCF,xGA,GA,HDCA
0.457446809,PHI,2025,5on5,56,0.5,0.48,103.9,110,86,104.62,114,102
0.502325581,BUF,2025,5on5,57,0.49,0.48,116.77,129,108,119.13,119,107
0.474226804,TOR,2025,5on5,57,0.48,0.46,112.06,131,92,120.01,142,102
0.487804878,DET,2025,5on5,58,0.49,0.49,113.65,99,100,117.9,115,105
0.430962343,WPG,2025,5on5,56,0.47,0.48,105.82,113,103,118.43,114,136
0.539393939,LAK,2025,5on5,56,0.52,0.53,107.55,92,89,100.65,88,76
0.504166667,PIT,2025,5on5,56,0.51,0.51,124.76,127,121,117.89,113,119
0.471111111,SJS,2025,5on5,55,0.45,0.45,98.62,108,106,118.89,125,119
0.601593625,CAR,2025,5on5,57,0.57,0.6,140.8,125,151,107.57,106,100
0.559405941,TBL,2025,5on5,55,0.54,0.53,117.6,127,113,98.31,90,89
0.502283105,CGY,2025,5on5,56,0.49,0.51,110.55,93,110,112.77,117,109
0.467213115,WSH,2025,5on5,59,0.5,0.51,127.45,131,114,125.33,106,130
0.460526316,STL,2025,5on5,57,0.49,0.47,108.3,105,105,114.97,136,123
0.474226804,NYR,2025,5on5,57,0.48,0.48,105.31,96,92,114.22,112,102
0.582010582,OTT,2025,5on5,57,0.55,0.53,116.74,127,110,93.78,119,79
0.559633028,UTA,2025,5on5,57,0.53,0.53,124.73,132,122,109.93,107,96
0.482758621,VAN,2025,5on5,57,0.46,0.48,108.59,93,112,128.93,129,120
0.585774059,COL,2025,5on5,55,0.57,0.56,136.88,157,140,104.04,87,99
0.469827586,CHI,2025,5on5,57,0.44,0.47,103.09,106,109,131.61,135,123
0.425120773,SEA,2025,5on5,56,0.45,0.45,96.78,101,88,116.58,90,119
0.458333333,BOS,2025,5on5,57,0.47,0.49,107.94,127,99,120.48,105,117
0.434782609,NJD,2025,5on5,57,0.48,0.51,112.5,89,100,120.85,126,130
0.469767442,MTL,2025,5on5,57,0.49,0.49,109.71,128,101,116.32,117,114
0.554054054,MIN,2025,5on5,58,0.5,0.48,120.47,117,123,119.6,109,99
0.51953125,EDM,2025,5on5,58,0.51,0.5,130.81,120,133,124.96,134,123
0.520202020,ANA,2025,5on5,56,0.51,0.52,121.34,116,103,114.42,131,95
0.430962343,NYI,2025,5on5,58,0.47,0.48,111.02,108,103,127.67,102,136
0.495098039,DAL,2025,5on5,57,0.5,0.46,109.04,118,101,109.43,99,103
0.514705882,VGK,2025,5on5,57,0.53,0.51,116.31,125,105,104.89,124,99
0.545081967,NSH,2025,5on5,57,0.51,0.52,122.04,104,133,115.78,134,111
0.492682927,FLA,2025,5on5,57,0.51,0.52,111.01,108,101,106.74,125,104
0.526315789,CBJ,2025,5on5,56,0.51,0.51,122.36,123,130,117.81,115,117
0.48,WPG,2021,5on5,82,0.49,0.49,181.06,156,156,185.02,162,169
0.464539007,CBJ,2021,5on5,82,0.45,0.48,163.27,177,131,199.7,214,151
0.505119454,PIT,2021,5on5,82,0.53,0.52,184.03,180,148,160.12,154,145
0.504237288,NSH,2021,5on5,82,0.5,0.5,158.2,165,119,158.48,156,117
0.509036145,VGK,2021,5on5,82,0.52,0.53,188.51,183,169,170.93,166,163
0.544585987,EDM,2021,5on5,82,0.51,0.52,184.39,181,171,173.78,173,143
0.516574586,FLA,2021,5on5,82,0.56,0.56,220.25,218,187,173.3,161,175
0.498349835,OTT,2021,5on5,82,0.47,0.48,165.09,147,151,185.4,175,152
0.49609375,VAN,2021,5on5,82,0.49,0.5,160.59,157,127,166.18,143,129
0.440298507,STL,2021,5on5,82,0.47,0.47,165.78,200,118,183.27,171,150
0.484848485,PHI,2021,5on5,82,0.46,0.47,165.61,159,160,190.9,189,170
0.526315789,DET,2021,5on5,82,0.46,0.46,161.93,159,160,188.36,203,144
0.391129032,BUF,2021,5on5,82,0.46,0.48,147.94,158,97,176.12,201,151
0.481751825,SJS,2021,5on5,82,0.47,0.46,159.89,142,132,178.84,179,142
0.525423729,COL,2021,5on5,82,0.53,0.53,173.79,198,155,157.07,153,140
0.598455598,BOS,2021,5on5,82,0.57,0.55,178.47,174,155,135.36,144,104
0.465384615,NYR,2021,5on5,82,0.47,0.47,147.24,158,121,165.23,148,139
0.448170732,MTL,2021,5on5,82,0.46,0.47,155.15,156,147,185.87,196,181
0.523076923,TBL,2021,5on5,82,0.52,0.51,177.88,183,136,163.7,149,124
0.541795666,LAK,2021,5on5,82,0.53,0.54,187.62,155,175,166.18,152,148
0.524,ANA,2021,5on5,82,0.48,0.48,154.81,155,131,166.4,187,119
